,Title,Content
0,I guess he sees politics as an opportunity to be more corrupt – Bridget Otoo on Duffour Jnr’s ambition,"Broadcaster, Bridget Otoo is puzzled over Kwabena Duffour Jnr’s decision to contest in the National Democratic Congress (NDC) parliamentary primaries despite his unimpressive performance as a leader when he served in different capacities. Duffour Jnr is eyeing the Sekyere Afram Plains seat which is being occupied by NDC’s Alex Adomako Mensah. Dr. Kwabena Duffour Jnr holds a Ph.D. and M.Sc. in Banking and International Finance from Cass Business School, United Kingdom respectively. He has also worked with the Ghana International Bank Plc London - Treasury Department and with Star Assurance Company Limited as an underwriter trainee and now wants to become a politician. Commenting on the development, Bridget Otoo in a tweet, Friday, could not fathom why Duffour Jnr would want to become a parliamentarian when he has on some occasions failed to function as a leader. ""I heard Kwabena Duffour Jnr also wants to go to Parliament? Wow. The guy who held a party the day EIB staff were on strike over unpaid salaries? Such an insensitive person wants to go to parliament. We need better people in politics, not out of touch self-centered people,"" her tweet sighted by GhanaWeb read.“For a moment think about why Kwabena Duffour Jnr wants to go to parliament. He couldn’t manage a bank, can’t pay his staff over mismanagement, holds a party the day his staff are on strike to show them he really doesn’t care. I guess he sees politics as an Opp [opportunity] to be more corrupt,” she stated in another tweet. "
1,What Ghana’s Jean Mensa said about Nigeria’s elections,"Nigerians have gone to the polls today to cast their vote for a president who will replace President Muhammadu Buhari.Three candidates have been tipped as the keen contestants in the race – Peter Obi of the Labour Party (LP), Bola Ahmed Tinubu of the All Progressives Congress (APC), and Atiku Abubakar of the Peoples Democratic Party (PDP).Ahead of this, Ghana’s Chair of the Electoral Commission, Jean Mensa spoke to the Ghana Broadcasting Corporation (GBC).According to her, there are similarities between the electoral processes of both countries; Ghana and Nigeria.“There’s a level of similarity with the Ghanaian elections and these processes and systems are geared towards ensuring that the elections are transparent and open and accessible to the stakeholders.“If you look at the biometric verification devices which they call the biometric verification devices which they call the Bimodal Voter Accreditation System (BVAS) where every voter comes in, you will be verified and allowed to wait and in addition to that, they are adopting the open spaces for elections so no longer will elections be held in closed spaces, rooms, classrooms and this is something government has adopted since 1992.“Additionally, they have also adopted the posting of the pink sheet at the various centers. As we know, this was one of the recommendations that came out of the 2012 petition and so now in Ghana we have the pink sheets posted at the various polling stations. So long as your name is on the register and your biometric details are captured on the BVD, you will be allowed to vote in Ghana. Here in Nigeria, if you do not have your PVC card, you will not be allowed to vote,” Jean Mensa said."
2,Senior Lecturer picks form to contest Navrongo NDC Parliamentary primaries,"Dr Jacob Paarechuga Anankware; a Senior Lecturer at the University of Energy and Natural Resources (UENR) has picked nomination forms to contest the National Democratic Congress (NDC) Parliamentary primaries in the Navrongo Central Constituency. The other new face is Pius Ayemva Avio, a legal practitioner and Manager at GRIDConsult.  Dr Anankware is currently the Head of the Department of Horticulture and Crop Production at UNER with over 35 publications in peer-reviewed journals and a book on the hermetic storage of grain against major insects and pests.  Dr Anankware attended the Navrongo Secondary School (NAVASCO) from 2001 to 2004 and proceeded to the University for Development Studies where he pursued a Bachelor of Science in Applied Biology from 2005 to 2009 and served as a teaching assistant in the same University from 2009 to 2010.  In 2009, he won a grant of US$7,000.00 from a scientific breakthrough at UDS for developing a natural control for major insect pests.  He continued to the University of Ghana and pursued a Master of Philosophy in Entomology at the prestigious African regional Postgraduate Programme in Insect Science (ARPPIS) from 2010 to 2012.   Prior to his graduation, he worked as a consultant at Vestergaard Frandsen (Noguchi Memorial Institute for Medical Research), Legon, from 2012 to 2013. At Vestergaard, he established the largest insectary in Ghana from scratch; developed rearing protocols for major storage pests and conducted bioassays for the popular deltamethrin-impregnated ZeroFly grain storage bag. In 2013, Dr Anankware resigned to pursue his PhD in Entomology at the Kwame Nkrumah University of Science and Technology and the University of Nairobi where he was in charge of the Deputy Country Director of Fish for Africa (an NGO specialised in rearing insects for protein in feed).  He helped raise about €3 million from the Swiss Agency for Development and Cooperation and the Swiss National Science Foundation but resigned in August 2014 and joined Aspire Food Group (An NGO rearing edible insects for human consumption) as the Ghana Country Director.  Dr Anankware helped build Aspire Food Group from scratch with a US$ 1 million grant from the Bill Clinton Global Initiative and the Hult Prize but resigned in September 2016 to concentrate and finish his PhD in November 2016 and became the first and only entomologist in Africa.  Dr Anankware was a postdoctoral scholar at the University of Michigan, USA, a 2017 Mandela Washington Fellow at Purdue University, USA and a 2018 Humboldt Scholar at Humboldt University in Germany.  A certificate from Oxford University and a fourth post-Doctoral fellowship at the New York University School of Medicine; focussing on Research Ethics and Integrity, and currently a law student.  Dr Anankware is the Founder and CEO of AnePaare Farms, a global player in entomophagy and a board chairman of Neat Eco-Feeds Ltd.  He is currently working on a US$1.85 million DANIDA-funded project on the nexus of agriculture, nutrition and infectious diseases among women and children and how edible insects can contribute to mitigating the injuriousness caused by iron deficiency and anaemia.  He has successfully trained and empowered over 2,000 farmers in the Bono, Bono East, Ahafo, Ashanti and Eastern regions of Ghana, Liberia, Nigeria and Kenya to sustainably rear larvae of the African palm weevil (Rhynchophorus phoenicis), also called “akokono” in Akan, to improve their nutrition and income.  He also rears larvae of the black soldier fly (Hermetia illusions) as a cheap source of protein to replace fish meal and soybean meal in fish and poultry feed.  His dream is to see a food-secure, Africa.  Dr Anankware has served and contributed immensely to the NDC and had been a TEIN Patron at the University of Energy and Natural Resources (UENR) since 2018. He had also served as the Upper East Regional NDC Election monitoring member for the 2020 election. He was a campaign team member for the Navrongo Central Constituency in the 2020 election among other responsibilities in the party. In an interview with the GNA, he said the current harsh economic conditions of the country called for the need to get someone who can relate well with the people to win more votes for the NDC to defeat NPP in 2024. He said the people of Navrongo only need respect and someone who is down to earth and not someone who will lord his position on them. “This is the second time I’m contesting, and I know the delegates will give me their blessings during the primary to represent them since the current MP has lost touch with the constituents and his re-election spells doom for the party in 2024”, he said."
3,Opoku-Agyemang deserves to be retained as running mate for Mahama – Kwesi Ahwoi,"A few days after the nomination form was picked for former President John Mahama to lead the largest opposition party, the National Democratic Congress (NDC), into the 2024 presidential election, a staunch member of the party, Ambassador Kwesi Ahwoi has suggested that Prof. Jane Naana Opoku-Agyemang deserves to be retained as running mate.In an exclusive interview with Starr News Eastern Regional Correspondent, Kojo Ansah at the sidelines of an event at Koforidua Technical University on Friday, Kwesi Ahwoi said even though former President Mahama has the prerogative right to appoint any running mate of choice, nothing stops him from re-appointing his 2020 running mate to partner him again into 2024.“I have made a lot of statements. I have made a statement that I will do everything to make sure President John Mahama comes back to be President of this country and of course, he has to decide who will be his running mate. I don’t see anything wrong at all and nothing that stops Prof. Jane Naana Opoku Agyemang from being the running mate”. Ambassador Kwesi Ahwoi stated.The former Interior Minister and current Chairman of Former Ambassadors and High Commissioners under the NDC, dismissed old-age arguments against Prof.Jaane Naana Opoku Agyemang. He said Prof.Jane Naana Opoku Agyemang, can rise to become the next President after John Mahama.“People are talking about age and all. Age is not a concern. Age is being made a concern because we have a leadership today that is making age look like we have lost track. But if I tell you my age standing here you will be amazed but I have not lost track. So Naana whether she is 78, 79, or 80 can still be President of this country when President John Mahama finishes his service, that should not be a worry at all. Senior Kwabena Duffuor is putting in his cap. Kwabena Duffuor should be getting close to 79, what does he get to do with that, he got his brains, he got everything that he can use to lead this country.so I don’t see anything wrong with that(old age), Is it because Naana is a woman?” he quizzed.Ambassador Kwesi Ahwoi said it is about time women are given opportunity to rule the country given the fact that men have been tried enough.“It is about time we put a woman in charge of this country . They have a lot to offer this country. We have tried men, we’ve seen where men have taken us. Let’s try the women”.Answering a question about whether or not Prof. Jaane Naana Opoku-Agyemang, will attract more votes for the NDC when made running mate to seal the party’s victory, Kwasi Ahwoi said Central region is an amorphous region therefore the seemingly poor performance of the party in 2020 should not be a litmus test for her re-appointment as running mate.“It is the party that brings numbers it is not really the individual….if the party is strong the candidate is only a reflection of the party. But specifically, she also has her constituency, she can pull resources, and she can pull people. Most people are not calculating things well they think we lost in the central region. We lost the presidential election in Centralia Region because people forget that the central region is an amorphous region. It is not only Fantes. Central region is a combination of Ashantes, Akyems, Denkyiras just name it so don’t look at Fante and say because Naana is a Fante he should bring Central region, no! We have to go beyond that”.Prof Jane Naana Opoku-Agyemang, an academician, the first female Vice-Chancellor of the University of Cape Coast, and a former Education Minister was the running mate for the 2020 Presidential candidate of NDC John Dramani Mahama.However, lost the election to incumbent President Nana Akufo-Addo of the ruling New Patriotic Party who polled 6,730,587 represented 51.30% as against 6,213,182 vote representing 47.36% polled by John Dramani Mahama of the NDC."
4,Whoever wants to replace Mahama must work 10 times harder – Senior Research Fellow,"Senior Research Fellow at Kumasi Technical University, Dr. Smart Sarpong, has averred that contenders of John Dramani Mahama in the National Democratic Congress (NDC) presidential race would need to put in more effort to beat him.According to him, whoever emerges as the winner would have to go the extra mile to oust the governing New Patriotic Party (NPP) from office in the 2024 general elections.Speaking on Oyerepa FM on February 23, 2023, he said, ""If you are going for a battle and you don’t note the quantum of work you have to do, you start from the failing point. If we want to put President Mahama aside, the work we will have to put into it is 10 times more than he would have done before we can unseat the NPP.""""If someone wants to be the flagbearer, what Mahama would have done using 3 or 5 tactics, the rest of them, Kojo Bonsu, Ernest and Duffour, they have to accept that they have to work 10 times harder than John Mahama would have in order to take the flagbearership,"" he added.The National Democratic Congress (NDC) officially closed nominations for the flagbearer position on Friday, February 24, 2023.At the close of nominations, four aspirants which include former President John Dramani Mahama, picked forms to contest in the race.The other three contestants were Dr. Kwabena Duffour, Kojo Bonsu, and Ernest Kwaku Kobeah.Meanwhile, the presidential and parliamentary primaries have been slated for Saturday, May 13, 2023.ESA/WA"
5,Know the four NDC faces seeking to kick out NPP in 2024,"In approximately a year and 9 months, Ghanaians will go to the polls to make another big decision about who will lead the country’s affairs at the helm of the presidency for 4 years.While Ghana has quite a number of political parties, the 2 biggest parties – the incumbent New Patriotic Party (NPP) and the National Democratic Congress (NDC) are at the forefront of all of these.Both parties are lacing their shoes to face each other on the day but ahead of that, there will be party primaries to elect a flagbearer who will represent the party and a running mate to assist.In a few months, specifically, on May 13, 2023, the biggest opposition party in Ghana – the NDC will elect its presidential and parliamentary aspirants for the party, and as such, possible candidates hoping to occupy the various positions have started indicating their intentions.On Wednesday, February 22, 2023, three candidates – former president and 3-time flagbearer of the NDC, John Dramani Mahama; Former Kumasi Mayor, Kojo Bonsu and Businessman, Ernest Kwaku Kobeah all picked up their nomination forms to indicate their interest in vying for the flagbearership position of the party.On Thursday, February 23, 2022, former Bank of Ghana Governor, Dr. Kwabena Duffour also picked up his nomination forms for the same position.If given the nod, the elected candidate will face another from the NPP and other political parties to contest for the presidency in the country.In this piece, we present a brief profile of all four candidates who have so far picked up forms in the NDC to contest:John Dramani Mahama:John Dramani Mahama was born on the 29th of November 1958 in Damongo in the Northern Region. He received his basic education at Achimota Basic School and later moved to the Ghana Secondary School in Tamale.He had his university education at the University of Ghana, in Legon, receiving a Bachelor of Arts degree in history in 1981. After this, he moved back to Tamale, where he taught history at Ghana Secondary School.He also did his post-graduate programme in Communication Studies at the University of Ghana and graduated in 1986. He then proceeded to the Institute of Social Sciences in Moscow to receive a post-graduate degree in Social Psychology in 1988. He entered politics in 1996 as an MP for Bole Bamboi and was re-elected in 2000 and 2004.As MP, he was appointed a Deputy Minister for Communications in 1997 and became the Minister for Communications from 1998 until 2001.He also was nominated as running mate to Prof. John Evans Atta Mills in 2008 and became Vice President in 2009.In July 2012, he succeeded the late John Evans Atta Mills and was elected as President of Ghana in 2012.He has since contested as Flagbearer for the party in the 2016 and 2020 elections respectively.He is contesting again in 2024 to lead the NDC as flagbearer.Dr. Kwabena Duffour:Dr. Kwabena Duffour was born in the Ashanti Region of Ghana. He had his secondary education at Prempeh College on a Ghana Cocoa Board Scholarship and then proceeded to the University of Ghana, Legon where he graduated in 1968 with a Bachelor’s degree in Economics, majoring in Statistics and Operations Research.Dr. Kwabena Duffuor started his working career in July 1968 at the Volta River Authority.  He then moved on to Ghana Commercial Bank (GCB) now GCB Bank in February 1969. Dr. Duffour obtained a USAID and African Graduate Fellowship Awards to pursue further studies at the Syracuse University in New York while working at GCB. He obtained an MBA in Finance and Banking, an MA in Economics in 1975, and a Ph.D. in 1979, all at the Syracuse University.While preparing for his Ph.D. Thesis, Dr. Duffuor worked briefly with the International Monetary Fund (IMF) in Washington DC, USA as an Economist in the African Department.In July 1995, Dr. Duffuor was appointed the Deputy Governor of the Bank of Ghana. In July 1997, President Jerry Rawlings appointed Duffuor as the governor of the Bank of Ghana. He held this position till his four-year term ended in September 2001. He was subsequently appointed Minister of Finance and Economic Planning in 2009 by the John Evans Atta Mills government.Kwabena Duffuor was a member of the Convention People's Party but was appointed as finance minister in John Atta Mills's National Democratic Congress government in February 2009.Dr. Kwabena Duffuor exited the Ministry of Finance and Economic Planning after completing a full political term with the ruling NDC in February 2012.He also owns a number of businesses including the defunct Unibank which was affected by the Banking sector cleanup in Ghana.Kojo Bonsu:Michael Kojo Bonsu lived at Offinso with his family as a child. He enrolled at Ring Road East for his primary school education, after which he had his Ordinary Level education at the Tamale Secondary School. His father was a sympathiser of the CPP, and that would have been his party too, but some backdoor jobs he did for the National Democratic Congress (NDC).Kojo Bonsu was a key personality in the Rawlings era and also played a pivotal campaign role for the late John Evans Atta Mills during his 2008 elections.He landed his first major role in the NDC in 2013 as the Metropolitan Chief Executive (Mayor) for the Kumasi Metropolitan Assembly.He is known as one of the best mayors Kumasi has had considering the significant change he implemented during his administration.He is also known as a businessman.Mr Bonsu also served as a board member for Ghana Oil Company from July 2009 to April 2015 and became acting Managing Director of the company after Yaw Agyemang-Duah retired after 16 years.He served as managing director from July 2011 to February 2012. Mr Bonsu is also the founder and former publisher of Agoo Magazine, an African lifestyle magazine that was launched in 2001.Ernest Kobeah:He is the newest in the race in terms of experience particularly. Ernest Kobeah is seeking to contest for the flagbearership position of the National Democratic Congress (NDC).He is 43 years and a businessman based in the United Kingdom.Ernest Kobeah announced his interest to contest as the NDC Presidential candidate in August 2022 in a post on his Facebook page.  Mr. Kobeah has been living in the UK for over 20 years. He is hopeful his expertise in development will help grow the country.You can also watch this edition of People & Places here:WA"
6,NDC needs Mahama more than he needs the party – Former Obuasi MCE,"A member of the National Democratic Congress (NDC), Kwasi Ofori Agyemang also known as Zuba has stated that John Dramani Mahama loses nothing if he is not given the opportunity to lead the NDC in the election 2024.He believes John Dramani Mahama has accomplished a lot in his career and the NDC will suffer greatly if the party does not win the next general elections on the wings of the former president’s popularity and credentials.Speaking on EIB Networks English platform in Kumasi monitored by MyNewsGh.com, Zuba noted the establishment within the party will make everything possible to get Mahama elected in its upcoming presidential primaries.“Within the Ghanaian society when the establishment wants to go left, and you decide to go right you might not see yourself well. The (NDC) establishment is for Mahama,” Zuba said.“The people who call the shots in NDC are all on Mahama’s side. NDC needs John Mahama more than he needs us, the NDC needs John Mahama more than he needs the party. If John Mahama is not on the ticket, he loses nothing, all the treatment that will be given to a president and I mean any president that comes same conditions of services goes to him”, he revealedHe is therefore urging the NDC not to make a mistake by not giving Mahama the opportunity to lead the party.“We should not make a mistake by allowing just anybody to lead this great party to victory in 2024. It is Mahama or no other person,” he warned."
7,"NDC, NPP can't solve Ghana's probems, give CPP a chance – Chairperson","The chairperson of the Convention Peoples Party (CPP) Nana Akosua Frimpomaa Sarpong Kumankumah, has called on Ghanaians to consider CPP in the upcoming 2024 general elections. She said that the party is better positioned to address Ghana's issues utilizing Dr Osagyefo Kwame Nkrumah's 1960 seven-year development strategy, which she believes is still relevant today. Speaking at the news conference held in Accra, on Friday 24, 2023 to commemorate the 57th anniversary of the overthrow of Dr Kwame Nkrumah and the CPP government, she argued that neither the governing New Patriotic Party (NPP) nor the National Democratic Congress (NDC) has anything to offer Ghanaians and for that matter, they need to be voted out in the upcoming elections.“The duopoly cannot solve the problems. It is no magic, it is a formula, and as I said, success is duplicable. It is cut and paste. Once it’s working, cut and paste it…political independence without economic independence is meaningless, and that is what we are experiencing today,” she said. Nana Akosua Kumankumah added that the NPP and opposition NDC had shown over the years that, they did not have what was needed to deliver the development Ghanaians desired. “The leadership is not supposed to be blamed. It is we, the Ghanaians, that need to be blamed because if they would have done it, they would have done it by now,” the chairperson added.Watch the latest edition of BizTech and Biz Headlines below:Watch the latest edition of Business Moments below:AM/SARA"
8,I have what it takes to break the 8 with NPP - Alan Kyerematen,"Alan Kyerematen, New Patriotic Party (NPP) flagbearer hopeful, has indicated that he stands a better chance of breaking the eight-year mantra for his party.  According to Alan Kyerematen, with the current economic challenges in the country, what the NPP needed was a candidate who is appealing to the masses to enable the party to break the 8-year power chain. “I think the most difficult challenge that confronts us as a party going into the general election is finding a leader who goes beyond the NPP in terms of his or her own record. We need a candidate whom you can market to the people of Ghana but not just the NPP,” he said. The flag bearer hopeful said this during a visit to the Upper East Region when he met with party executives, the clergy, traders, drivers, and supporters of the NPP.  Alan Kyerematen stated that winning an election in Ghana goes beyond political party and added that the individual leading the party must be appealing to the masses, “I think I fit the bill not just because I have been in this game for some time, but my appeal cut across political parties, religion and ethnic divide.”  The former Trade and Industry Minister who also spoke on URA Radio in Bolgatanga as part of his campaign tour to the region said his vision about transforming Ghana that started about 22 years ago could have fetched the country not less than 50 billion dollars (about $150 per person in the US) every year if the vision had been continued. “So, you can imagine the transformation that would have occurred from that time up to now. As a country, it is time for you to have a new leader that understands business and understands how to move the private sector and support the productive sectors of our economy,” he added. Under his leadership as Trade and Industry Minister, Alan Kyerematen said with support from the private sector, over 296 factories were established in different districts across the country in the past three and half years of the establishment of the government’s flagship policy ‘one district, and factory’. “Two years ago, when I started talking about producing and assembling cars here in Ghana, people were not so sure. But to the glory of God, now we have all the major global auto companies assembling cars here in Ghana. Volkswagen, VW, Toyota, Nissan, Kia, Hyundai, and very soon, Isuzu, Honda. All these things could not happen by chance but the result of a big vision and that is what you need as a leader,” he stated"
9,Joe Ghartey lauds NPP Western Regional executives for support,"A Presidential aspirant hopeful of the New Patriotic Party (NPP), Joe Ghartey, has expressed gratitude to the Western Regional Executive Committee for availing themselves of the first regional meeting on his Nationwide Tour of Hope and Unity.  He expressed appreciation to the Regional Executive Committee and party supporters for the warm and cordial reception accorded him during his debut on the National Agenda for Hope and Unity Tour in the Region. “I am grateful that you made time to talk with me and your feedback was very useful. May God continue to bless Western Region.” Speaking to Ghana News Agency in Takoradi, the former Attorney-General and Minister of Justice nourished the hope that his campaign message was going down well with the people and was confident to win the Presidential bid to lead the NPP in the 2024 Presidential elections. He had since taken the campaign to the Western-North Region."
